Sample ID,Gene,Sample Name,NCGC Unique ID,Primary Mechanism of Action
NCGC00163532-01,ADH1,DAIDZIN,KYQZWONCHDNPDP,Alcohol Dehydrogenase Inhibitor
NCGC00015598-03,TOP1,BETA-LAPACHONE,QZPQTZZNNJUOLS,DNA Topoisomerase I/II Inhibitors
NCGC00168114-03,PIK3CA,IC-87114,GNWHRHGTIBRNSM,PI3K inhibitor
NCGC00018302-08,,TRICHLORMETHIAZIDE,TWLBZVDPMBBKFJ,Diuretic
NCGC00025346-01,HTR2A,Mirtazepine,RONZAEMNMFQXRA,5-HT2A/3 Antagonists?
NCGC00346961-01,DDR1,HMSL10076,UASQUKUDXJFTCO,discoidin domain receptor tyrosine kinase (DDR1)
NCGC00249391-01,BRAF,,ZCCPLJOKGAACRT,Raf kinase B/C inhibitor
NCGC00346661-01,TUBB,Cephalomannine,DBXFAPJCZABTDR,Tubulin depolymerization inhibitor
NCGC00187906-01,PIK3CA,PI-103,TUVCWJQQGGETHL,PI3Kalpha_:_ beta_:_ gamma Inhibitor
NCGC00346882-01,INPPL1,AS 1949490,RFZPGNRLOKVZJY,SH2 containing inositol phosphatase (SHIP) inhibitor
NCGC00346645-01,AURKA,TAK-901,RZFQUIOHJWFKEG,Aurora-A/B Inhibitor
NCGC00092372-01,RIPK1,Necrostatin-1,TXUWMXQFNYDOEZ,RIP Kinase inhibitor
NCGC00159341-03,TERT,Lamivudine,JTEGQNOMFQHVDC,Reverse Transcriptase Inhibitor
NCGC00346436-01,CHEK2,CCT-241533   ,HZASIAXCPXTISQ,Checkpoint Kinase 2 (Chk2) Inhibitors
NCGC00163381-04,CAMKK2,,RJVLFQBBRSMWHX,Calmodulin-Dependent Protein Kinase II Inhibitors
NCGC00346544-01,MAP2K5,BIX 02189,HOMJAAIVTDVQJA,Mek 5 Inhibitor
NCGC00166310-03,,Marbofloxacin,BPFYOAJNDMUVBL,Antibiotic
NCGC00023945-13,TERT,ZIDOVUDINE [AZT],HBOMLICNUCNMMY,Reverse Transcriptase Inhibitor
NCGC00345838-01,PIK3CA,GNE-493,LEXMMFPAPDGYGZ,PI3K Inhibitor
NCGC00179302-02,CDK1,,CRDNMYFJWFXOCH,CDK1/2/4/5 Inhibitor
NCGC00345834-01,MAPK14,TAK-715,HEKAIDKUDLCBRU,p38 MAPK Inhibitor
NCGC00345842-01,ROCK1,GSK-25,KZYAHEIPPAPADQ,ROCK Inhibitor
NCGC00263566-03,,Oxonic acid potassium salt,RYYCJUAHISIHTL,adunct antineoplastic agent
NCGC00274061-01,ESR1,Trilostane,KVJXBPDAXMEYOA,Estrogen Receptor (ER) beta Modulators
NCGC00015578-10,,KETOPROFEN,DKYWVDODHFEZIM,non-steroidal antiinflammatory
NCGC00347283-01,MCL1,VU0483488-1,FPXKBOQUQVSSFK,Mcl Inhibitor
NCGC00092290-03,MAP2K1,SL327,JLOXTZFYJNCPIS,Mek 1/2 inhibitor
NCGC00015840-09,,PHLORETIN,VGEREEWJJVICBM,ICAM1 Expression Inhibitors
NCGC00016552-02,,,HSHGZXNAXBPPDL,Cephalosporin intermediate
NCGC00024246-13,,DAUNORUBICIN,STQGQHZAVUOBTE,Antineoplastic Antibiotics
NCGC00159483-03,MAP1LC3A,Hydroxychloroquine sulfate;Plaquenil???,XXSMGPRMXLTPCZ,Autophagy Inhibitor
NCGC00015705-04,GRIN2A,Memantine,BUGYDGFZZOZRHP,NMDA Antagonist
NCGC00345832-01,MAPK14,SD-06,CATQHDWESBRRQA,p38 MAPK Inhibitor
NCGC00162288-06,GSK3B,VALPROATE SODIUM,NIJJYAXOARWZEE,GSK-3 inhibitor
NCGC00094374-05,CDK1,Seliciclib;(R)-Roscovitine;CYC-202;NSC-701554,BTIHMVBBUGXLCJ,CDK 1_:_2_:_5_:_7_:_9 Inhibitor
NCGC00346680-01,SCD,MK-8245,UJEAABFSXKCSGI,Stearoyl-CoA Desaturase Inhibitors
NCGC00346562-01,,Cefditoren pivoxil,AFZFFLVORLEPPO,Cephalosporin antibiotic
NCGC00248196-02,,Tempol,UZFMOKQJFYMBGY,Free Radical Scavenger
NCGC00015205-07,NR1I3,PK-11195,RAVIZVQZGXBOQO,Constitutive Androstane Receptor Antagonist
NCGC00016797-04,,,LSQZJLSUYDQPKJ,beta-lactam antibiotic
NCGC00346469-01,PSMD1,CEP18770,SJFBTAPEPRWNKH,Proteasome Inhibitor
NCGC00160391-05,TXNRD1,Auranofin,AUJRCFUBUPVWSZ,Thioredoxin Reductase Inhibitors
NCGC00015754-15,AR,NILUTAMIDE,XWXYUMMDTVBTOU,Androgen Receptor Antagonist
NCGC00346736-01,AR,Testosterone cypionate,HPFVBGJFAYZEBE,Androgen Receptor Activator
NCGC00178483-04,,Limonin,KBDSLGBFQAGHBE,antiviral
NCGC00090762-03,PRKDC,Rifabutin,ATEBXHFBFRCZMA,DNA-Directed RNA Polymerase Inhibitor
NCGC00262608-02,JAK2,TG101209,ITOABKQCSFXXHU,Jak2 inhibitor
NCGC00017280-22,RORB,TRETINON,SHGAZHPCJJPHSC,Retinoid RORbeta Ligand
NCGC00161290-05,,16_:_16-Dimethyl Prostaglandin E2,QAOBBBBDJSWHMU,prostaglandin
NCGC00263192-02,,Silmitasertib;CX-4945,MUOKSQABCJCOPU,Casein Kinase II (CK2) Inhibitor
NCGC00017358-14,NDUFAF1,ROTENONE,JUVIOZPCNVVQFO,NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor
NCGC00346842-01,IDO1,Indoximod,ZADWXFSZEAPBJS,Indoleamine 2_:_3-dioxygenase (IDO) inhibitor
NCGC00164604-03,HMGCR,Fluvastatin;SRI-62320/XU-62-320,FJLGEFLZQAZZCD,HMG-CoA Reductase Inhibitors
NCGC00188863-01,ADRA1A,Dronedarone,HADAWBYLCBLLQX,alpha_:_beta-Adrenoceptor Antagonists
NCGC00016210-06,CNR1,,HQVHOQAKMCMIIM,Cannabinoid Receptor Agonist
NCGC00070736-04,TLR7,Imiquimod,DOUYETYNHWVLEO,TLR 7 Receptor Antagonist
NCGC00164590-03,PGR,Drospirenone,METQSPRSQINEEU,Synthetic progesterone
NCGC00274065-01,,Desonide,WBGKWQHBNHJJPZ,Corticosteroid
NCGC00160397-01,CHRM1,Irsogladine maleate,ATCGGEJZONJOCL,M1 Muscarinic acetylcholine receptor Antagonists
NCGC00345794-01,NAE1,MLN-4924,WJQLJGAIUZXWJO,NEDD8-Activating Enzyme (NAE) Inhibitors
NCGC00014352-03,SHH,GANT61,KVQOGDQTWWCZFX,Hedgehog pathway inhibitor
NCGC00346502-01,PGR,Dienogest,AZFLJNIPTRTECV,Synthetic progesterone
NCGC00025018-09,ADRA2A,YOHIMBINE HYDROCHLORIDE,BLGXFZZNTVWLAY,alpha2-Adrenoceptor Antagonists
NCGC00346703-01,CETP,Torcetrapib (CP-529414),CMSGWTNRGKRWGS,Cholesteryl Ester Transfer Protein (CETP) Inhibitor
NCGC00263110-01,TACR3,Osanetant;SR-142806,DZOJBGLFWINFBF,Tachykinin NK3 Antagonist
NCGC00344550-02,,Stanozolol,LKAJKIOFIWVMDJ,Synthetic Steroid
NCGC00025000-08,CYP19A1,Piperazine,XMAYWYJOQHXEEK,Aromatase Inhibitor
NCGC00016447-02,,Proscillaridin A,MYEJFUXQJGHEQK,Steroid
NCGC00344764-01,,,ZYRLHJIMTROTBO,altered energy metabolism-directed (AEMD) compound
NCGC00346575-01,,BIBR 953 (Dabigatran etexilate_:_ Pradaxa),YBSJFWOBGCMAKL,Thrombin Inhibitors
NCGC00346644-01,SRC,KX2-391,HUNGUWOZPQBXGX,Src Kinase Inhibitors
NCGC00263104-01,KDR,Foretinib;EXEL-2880/GSK-089/GSK-1363089/XL-880,CXQHYVUVSFXTMY,VEGFR-2 Inhibitor
NCGC00346304-02,BRAF,L-779_:_450,WXJLXRNWMLWVFB,Raf kinase C Inhibitor
NCGC00090905-11,,BUSULFAN,COVZYZSDYWQREU,DNA Alkylating Agent
NCGC00164574-05,EGFR,Erlotinib hydrochlorid;CP-358774;NSC-718781;OSI-774;RG-1415;Ro-50-8231;Tarceva,AAKJLRGGTJKAMG,EGFR (HER1; erbB1) inhibitor
NCGC00346447-01,PIK3CA,D-106669,RQBRFKKFZPOBFG,PI3Kalpha inhibitor
NCGC00346500-01,PIK3CA,PIK-75 ,QTHCAAFKVUWAFI,PI3K Inhibitor
NCGC00345739-02,CLK1,KH-CB19,CXJCGSPAPOTTSF,Clk1_:_ Clk4 Inhibitor
NCGC00346525-01,AURKA,Aurora A Inhibitor I,AKSIZPIFQAYJGF,Aurora A Inhibitor
NCGC00161419-03,DHFR,Trimetrexate,NOYPYLRCIDNJJB,Dihydrofolate Reductase (DHFR) Inhibitors
NCGC00345856-01,AKT1,AZD-26,GIRZDHCBMNHMEH,AKT Inhibitor
NCGC00015086-03,NFKB1,ACETYLCYSTEINE,PWKSKIMOESPYIA,NF-kappaB Activation Inhibitor
NCGC00346491-01,PLA2G5,Varespladib (LY315920),BHLXTPHDSZUFHR,Secretory Phospholipase A2 (sPLA2) Inhibitors
NCGC00015818-15,,PRAZIQUANTEL,FSVJFNAIGNNGKK,antiparasitic agent
NCGC00263233-01,PFKFB2,IPFK2,FRIGMYLLVAJOTF,Inducible phosphofructokinase-2 inhibitor
NCGC00263171-01,MDM2,Serdemetan;JNJ-26854165,CEGSUKYESLWKJP,MDM2 (hdm2) Inhibitor
NCGC00345857-01,BTK,CGI1746                    (G-182),JIFCFQDXHMUPGP,BTK Inhibitor
NCGC00346880-01,GABRA1,Indiplon,CBIAWPMZSFFRGN,GABAA Receptor Modulator
NCGC00160162-03,,HORDENINE,KUBCEEMXQZUPDQ,Antibiotic properties
NCGC00346561-01,TERT,Emtricitabine (Emtriva),XQSPYNMVSIKCOC,Reverse Transcriptase Inhibitor
NCGC00024994-01,MAOB,(R)-(-)-Deprenyl hydrochloride,MEZLKOACVSPNER,MAO-B Inhibitor
NCGC00016285-08,CA1,SULFANILAMIDE,ZADLKLXOEWDVAZ,Carbonic Anhydrase Type I/II/IX Inhibitor
NCGC00346876-01,TXNRD1,PX 12,BPBPYQWMFCTCNG,Thioredoxin Reductase Inhibitors
NCGC00015680-14,,MELATONIN,DRLFMBDRBRZALE,Free Radical Scavengers
,,,,TH Expression Enhancers
NCGC00347935-01,,,IEZRQPZETYYPJR,Mutant IDH2 Inhibitor
NCGC00186013-01,,Esomeprazole magnesium dihydrate,MEJVBZKBQJMUAG,H+/K+-ATPase Inhibitor
NCGC00346669-01,,TAK-875,AGXOCELTCOEGNN,Insulin Secretagogues
NCGC00242477-01,RARB,AC-261066,HSAOETBFVAWNRP,RARbeta2 Agonist
NCGC00163424-03,HSP90AB1,ALLYLAMINO-17-DEMETHOXY-GELDANAMYCIN,AYUNIORJHRXIBJ,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00015060-19,,AZATHIOPRINE,LMEKQMALGUDUQG,immunosuppressant
NCGC00346737-01,,Genistin,ZCOLJUOHXJRHDI,Lipid lowering agents
NCGC00346529-01,,Safinamide Mesylate (FCE28073),NEMGRZFTLSKBAP,Sodium channel inhibitor
NCGC00346433-01,,Peramivir trihydrate,XRQDFNLINLXZLB,Neuraminidase (Sialidase) Inhibitors
NCGC00346609-01,,Gentamycin sulfate (Gentacycol),CEAZRRDELHUEMR,Antibiotic
NCGC00016806-12,TUBB,MEBENDAZOLE,OPXLLQIJSORQAM,Tubulin depolymerization inhibitor
NCGC00091109-03,,Neohesperidin dihydrochalcone (Nhdc),ITVGXXMINPYUHD,synthetic sugar substitute
NCGC00015830-07,MAOA,PHENELZINE SULFATE,RMUCZJUITONUFY,MAO Inhibitor
NCGC00263093-01,IL2,Apilimod;STA-5326,HSKAZIJJKRAJAV,IL-12 Production Inhibitor
NCGC00250406-01,COX10,Tipifarnib;NSC-702818/Zarnestra,PLHJCIYEEKOWNM,Farnesyltransferase Inhibitor
NCGC00142605-03,,SALICIN,NGFMICBWJRZIBI,Antiinflammatory agent
NCGC00092344-05,PPARD,GW-0742;GW-610742???,HWVNEWGKWRGSRK,PPARgamma Agonists?
NCGC00091014-06,AR,Hydroxyflutamide,YPQLFJODEKMJEF,Androgen Receptor Antagonist
NCGC00159544-02,CALM1,Zaldaride maleate;CGS-9343B/KW-5617/Zy-17617B,HTGCJAAPDHZCHL,Calmodulin Antagonist
NCGC00178127-04,ACE,Ramipril (Altace),HDACQVRGBOVJII,Angiotensin-I Converting Enzyme Inhibitor
NCGC00016463-02,CHRNA3,(-)-Cytisine,ANJTVLIZGCUXLD,Nicotinic alpha3beta4 Partial Agonists
NCGC00018248-08,PTGS1,Meloxicam (Mobic),JJMWPUUMNOUPNB,Cyclooxygenase-1/2 Inhibitor
NCGC00346959-01,LCK,HMSL10038,NBTNHSGBRGTFJS,Lck Kinase Inhibitors
NCGC00250397-01,TNKS,NVP-XAV-939;XAV-939?,KLGQSVMIPOVQAX,TNKS1/TNKS2 Inhibitor
NCGC00346441-01,SPHK2,ABC-294640,CAOTVXGYTWCKQE,Sphingosine Kinase 2 (SphK2) Inhibitors
NCGC00263143-01,HSPA2,VER-155008,ZXGGCBQORXDVTE,Heat Shock Protein 70 (hsp70) Inhibitor
NCGC00161834-01,,budesonidum,VOVIALXJUBGFJZ,Glucocorticoid steroid
NCGC00016023-17,PDE4A,THEOBROMINE,YAPQBXQYLJRXSA,cAMP Phosphodiesterase Inhibitors
NCGC00346735-01,,Cinchonine,KMPWYEUPVWOPIM,P-Glycoprotein (MDR-1) Inhibitor
NCGC00242499-01,PIM1,Pim 1 inhibitor 2,AQVFETGXIRKVAQ,Pim-1 inhibitor
NCGC00263015-01,TLR4,NCGC00263015-01,PDFAUYXBJDPBCE,TLR4 (LPS) inhibitor
NCGC00345797-01,PTGDR2,AP-761,XEOSTBFUCNZKGS,prostaglandin D2 CRTH2 inhibitor
NCGC00346531-01,,Oligomycin A,MNULEGDCPYONBU,ATP synthase inhibitor
NCGC00263188-01,NOTCH1,YO-01027,QSHGISMANBKLQL,g-Secretase Inhibitor
NCGC00092385-02,CNR1,LY-320135,RYNSGDFWBJWWSZ,Cannabinoid CB1 Antagonist
NCGC00015529-18,PTGS1,Ibuprofen Lysine (NeoProfen),HEFNNWSXXWATRW,Cyclooxygenase-1/2 Inhibitor
NCGC00015833-16,FAS,PYRAZINAMIDE,IPEHBUMCGVEMRF,Fatty acid synthase inhibitor
NCGC00182059-02,XDH,Febuxostat,BQSJTQLCZDPROO,Xanthine Oxidase Inhibitor
NCGC00023373-04,,Clobetasol propionate,CBGUOGMQLZIXBE,Corticosteroid
NCGC00346540-01,,Fesoterodine fumarate (Toviaz),DCCSDBARQIPTGU,Muscarinic Antagonists
NCGC00346459-01,,LY-2874455   ,GKJCVYLDJWTWQU,FGFR Inhibitor
NCGC00262929-02,,BIBR-1048 (Dabigatran),KSGXQBZTULBEEQ,Thrombin Inhibitors
NCGC00016000-10,ALDH2,,AUZONCFQVSMFAP,Aldehyde Dehydrogenase (ALDH2) Inhibitors
NCGC00346505-01,TUBB,Epothilone A,HESCAJZNRMSMJG,Tubulin depolymerization inhibitor
NCGC00025125-20,TUBB,COLCHICINE,IAKHMKGGTNLKSZ,Tubulin polymerization inhibitor
NCGC00346507-01,MET,AMG-208,HEAIZQNMNCHNFD,HGFR (MET; c-Met) Inhibitor
NCGC00346624-01,PIK3CA,A66,HBPXWEPKNBHKAX,PI3Kalpha inhibitor
NCGC00346650-01,PIK3CA,CH5132799,WSYVOARRIIRYRB,PI3Kalpha_:_ beta_:_ gamma Inhibitor
NCGC00346731-01,TUBB,Vinblastine,OGWKCGZFUXNPDA,Tubulin polymerization inhibitor
NCGC00346467-01,,VCH-916 ,LNYKGELUODVSNS,RNA-Directed RNA Polymerase Inhibitor
NCGC00346523-01,,Azalomycin-B,OSERMIPXNLXAPD,Macrolide Antibiotic
NCGC00242054-03,,RepSox,LBPKYPYHDKKRFS,TGF-bR1 (ALK5) inhibitor
NCGC00346941-01,ITK,ITK inhibitor,RRHONYZEMUNMJX,ITK inhibitor
NCGC00346949-01,TOP2A,ICRF-193,OBYGAPWKTPDTAS,DNA Topoisomerase II Inhibitors
NCGC00263190-02,ATM,KU-0064;KU-55933,XRKYMMUGXMWDAO,ATM Kinase Inhibitor
NCGC00346716-01,BRAF,Dabrafenib (GSK2118436),GBJBCIAJEHTKFD,Raf kinase B Inhibitor
NCGC00347906-01,P2RX7,A 438079,MMPAULQSJLVKHP,P2X7 Receptor Antagonist
NCGC00186024-02,,SB-525334,DKPQHFZUICCZHF,TGF-bR1 (ALK5) inhibitor
NCGC00159570-01,MDM2,,KZENBFUSKMWCJF,MDM2 (hdm2) Inhibitor
NCGC00025100-09,BTK,LFM-A13,UVSVTDVJQAJIFG,BTK Inhibitor
NCGC00263204-01,AURKA,CYC-116,GPSZYOIFQZPWEJ,Aurora-A/B/C Kinase Inhibitor
NCGC00015790-02,MAP2K1,PD 98059,QFWCYNPOPKQOKV,Mek 1/2 inhibitor
NCGC00263214-01,TRPV4,HC-067047,NCZYSQOTAYFTNM,TRPV4 Antagonist
NCGC00346641-01,OPRD1,ADL5859 HCl,OPIKUXLJQFYMSC,delta-Opioid Agonists
NCGC00346434-01,,Imipenem Monohydrate,OUXTYMOXZJQTDG,Carbapenem Antibiotic
NCGC00345807-01,CTSL1,CAA0225,ZHZIYQUXZUTJMW,Cathepsin L Inhibitors
NCGC00346673-01,CDK1,PHA-848125,RXZMYLDMFYNEIM,CDK1/2/4/5 Inhibitor
NCGC00095707-03,,SOLANESOL,AFPLNGZPBSKHHQ,tobacco isoprenoid alcohol
NCGC00017256-08,ACHE,Galanthamine hydrobromide,ASUTZQLVASHGKV,Acetylcholinesterase Inhibitors
NCGC00346895-01,LAP3,Amastatin,QFAADIRHLBXJJS,cytosolic leucine aminopeptidase inhibitor
NCGC00346707-01,COX10,Lonafarnib (SCH66336),DHMTURDWPRKSOA,Farnesyltransferase Inhibitor
NCGC00346840-01,HDAC6,Tubacin,BHUZLJOUHMBZQY,Histone Deacetylase (HDAC) 6 Inhibitor
NCGC00015870-16,,Quercetine;Meletin;Sophoretin,REFJWTPEDVJJIY,flavanoid
NCGC00347065-01,,,RMZPVQQGYVSLAP,p97 ATPase Inhibitor
NCGC00263123-01,PPARA,MK-767;KRP-297,NFFXEUUOMTXWCX,PPARalpha/gamma agonist
NCGC00016375-10,,SULFADIMETHOXINE,DZMIOEPDDBGADS,Antibiotic
NCGC00345018-01,PDE4A,,RJJLUTWHJUDZFP,Phosphodiesterase IIII D (PDE4D) inhibitor
NCGC00015898-12,PDE4A,Rolipram,HJORMJIFDVBMOB,Phosphodiesterase IIII (PDE4) inhibitor
NCGC00346546-01,,MK3207 HCl,AZAANWYREOQRFB,Calcitonin Gene-Related Peptides (CGRP) Antagonists
NCGC00015590-07,,Linopirdine dihydrochloride,YEJCDKJIEMIWRQ,K(ATP) Channel Blockers
NCGC00346963-01,CSF1R,HMSL10083,NHOUHWHGHAFDOP,CSF1R (c-FMS) Inhibitor
NCGC00346948-01,HDAC1,Oxamflatin,FBYVPRGXMUGJEW,Histone Deacetylase (HDAC) Inhibitor
NCGC00018204-11,,VINPOCETINE,DDNCQMVWWZOMLN,Sodium channel inhibitor
NCGC00263118-01,PDE4A,Lirimilast;BAY-19-8004,DMDSFIXPYFMEKI,Phosphodiesterase IIII (PDE4) inhibitor
NCGC00025225-02,PAR1,,AVXQPEKZIGPIJW,PAR1 Antagonist
NCGC00183109-02,CCR5,Maraviroc,GSNHKUDZZFZSJB,Chemokine CCR5 Antagonist
NCGC00024631-01,AKR1B1,EBPC,IGYRPDIWSYGHMY,Aldose Reductase Inhibitor
NCGC00015122-09,SLC6A3,BUPROPION,SNPPWIUOZRMYNY,Dopamine Transporter (DAT) Inhibitor
NCGC00142400-06,,Chenodeoxycholic acid,RUDATBOHQWOJDD,Farnesoid X Receptor Agonist
NCGC00163468-06,,Mitomycin C,NWIBSHFKIJFRCO,DNA Alkylating Agent
NCGC00179363-04,,Ursodiol (Actigal Urso),RUDATBOHQWOJDD,Steroid
NCGC00346605-01,NR1I2,Sodium Danshensu,PAFLSMZLRSPALU,Pregnane X Receptor (PXR) Regulator
NCGC00091861-06,,DACARBAZINE,FDKXTQMXEQVLRF,DNA Alkylating Agent
NCGC00263103-01,EGFR,Pelitinib;EKB-569/WAY-EKB-569,WVUNYSQLFKLYNI,EGFR (HER1; erbB1) Inhibitor
NCGC00096075-03,PTP4A1,Rheochrysidin (Physcione),FFWOKTFYGVYKIR,Protein Tyrosine Phosphatase (PTP) Inhibitors
NCGC00263232-01,GLS,GLS968,NVFRRJQWRZFDLM,Glutaminase inhibitor
NCGC00090808-03,,Amphotericin B (Abelcet),APKFDSVGJQXUKY,Macrolide Antibiotic
NCGC00263106-01,GRIN2A,Gavestinel sodium;GV-150526A,WZBNEZWCNKUOSM,NMDA Glycine-Site Antagonist
NCGC00242598-03,,LY2109761,IHLVSLOZUHKNMQ,TGF-bR1 (ALK5) and TGFbR2 inhibitor
NCGC00263166-01,BCL2L1,Obatoclax;GX-015-070,RFTSSZJZXOSICM,Bcl-xL inhibitor
NCGC00090757-05,,MELPHALAN,SGDBTWWWUNNDEQ,DNA Alkylating Agent
NCGC00346687-01,PDPK1,BX-912,DMMILYKXNCVKOJ,Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors
NCGC00346638-01,GSK3B,TWS119,VPVLEBIVXZSOMQ,GSK-3beta Inhibitor
NCGC00092289-01,CDC25,DA-3003-1;NSC-663284,BMKPVDQDJQWBPD,Cell Division Cycle CDC25 Phosphatase Inhibitor
NCGC00016645-03,,,MHIGBKBJSQVXNH,Tetracycline Antibiotic
NCGC00015513-09,HRH1,HISTAMINE,NTYJJOPFIAHURM,Histamine Receptor Agonist
NCGC00346886-01,EWSR1,YK 4-279,HLXSCTYHLQHQDJ,EWS-FLI1 Inhibitors
NCGC00162383-02,,Vancomycin hydrochloride from Streptomyces orientalis,MYPYJXKWCTUITO,glycopeptide antibiotic
NCGC00166111-04,ESR1,Estriol,PROQIPRRNZUXQM,Estrogen Receptor (ER) Agonist
NCGC00346646-01,PYGL,CP-91149,HINJNZFCMLSBCI,Glycogen Phosphorylase a Inhibitors
NCGC00345841-01,MAP3K5,S-99 ,BDAJJFZKNIYDOL,Apoptosis signal-regulating kinase (ASK1/MAPKKK)
NCGC00016543-08,,PHENFORMIN HYDROCHLORIDE,ICFJFFQQTFMIBG,antidiabetic drug
NCGC00164588-03,,Malotilate,YPIQVCUJEKAZCP,Liver Protein Metabolism
NCGC00017269-06,MAOA,FORMONONETIN,HKQYGTCOTHHOMP,MAO Inhibitor
NCGC00346474-01,,1-(1-Naphthylmethyl)piperazine,HGYDREHWXXUUIS,Bacterial Efflux Pump Inhibitors
NCGC00346588-01,GABRA1,Bilobalide,MOLPUWBMSBJXER,GABA(A) Receptor Antagonists
NCGC00347066-01,,,QAIMUUJJAJBPCL,p97 ATPase Inhibitor
NCGC00247785-05,,,WSMXAUJFLWRPNT,Perinuclear compartment (PNC) assembly inhibitor
NCGC00346939-01,PDE2A,PF-8380,JMSUDQYHPSNBSN,Phosphodiesterase II (ENPP2; Autotaxin) Inhibitors
NCGC00159509-02,ACE,Perindopril,IPVQLZZIHOAWMC,Angiotensin-I Converting Enzyme Inhibitor
NCGC00024928-22,ER,Tamoxifen;ICI-46474?,NKANXQFJJICGDU,Selective Estrogen Receptor Modulators (SERM)
NCGC00242498-03,CSNK1A1,D 4476,DPDZHVCKYBCJHW,Casein Kinase I (CK1) Inhibitor
NCGC00244250-02,TYK2,NCGC00244250-01,ZGFGFQUPXGGIOJ,Tyk 2 inhibitor
NCGC00346705-01,,PMSF (Phenylmethylsulfonyl Fluoride),YBYRMVIVWMBXKQ,Serine Protease Inhibitor
NCGC00263117-02,HDAC1,LBH-589 (Panobinostat),FPOHNWQLNRZRFC,Histone Deacetylase (HDAC) Inhibitor
NCGC00016960-03,,Glimepiride,WIGIZIANZCJQQY,K(ATP) Channel Blockers
NCGC00165915-03,FAAH,URB597,ROFVXGGUISEHAM,Fatty Acid Amide Hydrolase (FAAH) Inhibitor
NCGC00160163-01,PTGS2,(25R)-5-Spirosten-3beta-ol,WQLVFSAGQJTQCK,Cyclooxygenase up-regulator
NCGC00346933-01,LCK,SU6656,HMBBZHLKUKXFRH,Lyn Kinase Inhibitor
NCGC00347945-01,DYRK1A,,VVZNWYXIOADGSW,DYRK Inhibitor
NCGC00346486-01,HDAC1,PCI-24781,MAUCONCHVWBMHK,HDAC Inhibitor
NCGC00164637-04,,Nifekalant,OEBPANQZQGQPHF,K(ATP) Channel Blockers
NCGC00244256-02,JAK1,Lestaurtinib;CEP-701;KT-5555;SPM-924,UIARLYUEJFELEN,Jak/Tyk/Flt inhibitor
NCGC00018176-04,,ESTRONE,DNXHEGUUPJUMQT,Steroid hormone
NCGC00263694-01,,,SLUINPGXGFUMLL,chondrocyte differentiation initiator
NCGC00263084-02,SMO,Hh-Ag1.5,RUOUXRFGKIUTHP,Smoothened (Smo) receptor agonist
NCGC00017112-11,,Ciclopirox ethanolamine,SCKYRAXSEDYPSA,Antifungal Agent
NCGC00346456-01,EDNRA,Macitentan,POJNQSFBIKBMQI,Endothelin ETA/ETB Receptor Antagonist
NCGC00017338-05,,Antimycin A,UIFFUZWRFRDZJC,Antifungal Agent
NCGC00167472-02,,,SGRYPYWGNKJSDL,Mediator Release Inhibitors
NCGC00263139-01,ADORA1,Rolofylline;HMR-4902/KW-3902/MK-7418,PJBFVWGQFLYWCB,Adenosine A1 Antagonist
NCGC00188962-02,HMGCR,Pravastatin,TUZYXOIXSAXUGO,HMG-CoA Reductase Inhibitor
NCGC00346647-01,IGFR1,GSK1838705A,HZTYDQRUAWIZRE,IGF-1R Inhibitor
NCGC00015558-06,ADRB1,Isoproterenol,JWZZKOKVBUJMES,beta-Adrenoceptor Agonists
NCGC00016026-11,ADRA1A,TERAZOSIN HYDROCHLORIDE,VCKUSRYTPJJLNI,alpha1-Adrenoceptor Antagonists
NCGC00159510-04,HTR2A,ARIPIPRAZOLE,CEUORZQYGODEFX,5-HT1A/2A Antagonists?
NCGC00346582-01,ERBB2,Mubritinib (TAK 165),ZTFBIUXIQYRUNT,HER2 (erbB2) Inhibitor
NCGC00271596-04,CYP19A1,Exemestane,BFYIZQONLCFLEV,Aromatase Inhibitor
NCGC00015264-08,SLC6A4,Clomipramine,GDLIGKIOYRNHDA,Serotonin Transporter (SERT) Inhibitor
NCGC00346510-01,,MGCD-265,UFICVEHDQUKCEA,HGFR (MET; c-Met) Inhibitor
NCGC00346495-01,PIK3CB,TGX-221,CPRAGQJXBLMUEL,PI3Kbeta inhibitor
NCGC00025230-01,,SB-431542,FHYUGAJXYORMHI,TGF-bR1 (ALK5) Inhibitor
NCGC00346542-01,AURKA,Hesperadin,SFMSTHBZDFQEQO,Aurora Kinase Inhibitor
NCGC00250399-01,BRAF,Vemurafenib;PLX-4032;RO-5185426;Zelboraf,ZGCSBHDPSRPIOV,Raf kinase B Inhibitor
NCGC00346471-01,TOP1,Rebeccamycin,QEHOIJJIZXRMAN,DNA Topoisomerase I Inhibitors
NCGC00346497-01,EGFR,WZ8040,KIISCIGBPUVZBF,EGFR (HER1; erbB1) Inhibitor
NCGC00346535-01,PLK1,HMN-214,OCKHRKSTDPOHEN,Polo-like Kinase-1 (Plk-1) Inhibitor
NCGC00163505-03,PRKCA,Go 6983,LLJJDLHGZUOMQP,PKC inhibitor
NCGC00263094-01,AURKA,AMG-900,IVUGFMLRJOCGAS,Aurora-A/B/C Kinase Inhibitor
NCGC00271415-02,NR1I2,Rifaximin (Xifaxan),NZCRJKRKKOLAOJ,Pregnane X Receptor (PXR) Agonist
