Sample ID,Structure,Sample Name,Drug Name,NCGC Unique ID,Primary Mechanism of Action,Gene Symbol
NCGC00242504-01,C[C@@H]1C[C@H]2[C@@H]3\C=C(C)/C4=C/C5=C(C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O)C=N[N]5C6=CC=CC=C6,Cortivazol,,ABBZCJLJVANSLA,Glucocorticoid Receptor (GR) Agonist,
NCGC00181098-01,NC1=NC(OC)=C(N=CN2[C@H]3[C@H]([C@@H]([C@@H](CO)O3)O)O)C2=N1,Nelarabine,nelarabinum;Nelzarabine;CIPLUS_728663;O(6)-methylguanosine;506U78UH;NELARABINE;2-AMINO-9-B-ARABINOFURANOSYL-6-METHOXY-9H-PURINE;O6-methylguanosine;NELZARABINE;6'-O-methylguanosine;CIPLUS_673513;Nelarabine;LS-172477;nelzarabine;,IXOXBSCIXZEQEQ,Antimetabolite,
NCGC00253646-01,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,Agomelatine,,YJYPHIXNFHFHND,5-HT2C Antagonists,HTR2C
NCGC00263157-01,CCOC\1=C(/C(=O)NC2=CC=C(OC3=C(Cl)C(=NC=C3)N)C(=C2)F)C(=O)N(\C=C1)C4=CC=C(F)C=C4,BMS-777607,,VNBRGSXVFBYQNN,HGFR (MET; c-Met) Inhibitor,MET
NCGC00167430-03,ClC1=CC=C(C(C[N]2C=CN=C2)OCC3=C(Cl)SC=C3)C(=C1)Cl,TIOCONAZOLE,,QXHHHPZILQDDPS,Antifungal Agent,
NCGC00160165-01,CC(=O)C1=C(O)C(C)=C(O)C2=C1OC3=CC(=O)C(C(C)=O)=C(O)C23C,,"USNIC ACID;CIPLUS_747159;CIPLUS_699271;usnic acid;(+)-Usnic acid from Usnea dasypoga;usniacin;CIPLUS_3744949;(+)-Usnic acid Usnea dasypoga;2,6-Diacetyl-7,9-dihydroxy-8,9b-dimethyldibenzofuran-1,3(2H,9bH)-dione;(+)-Usniacin;CIPLUS_173383;2,6-diacetyl-7,9-dihydroxy-8,9b-dimethyl-1,3(2H,9bH)-dibenzofurandione;CIPLUS_179437;NCGC00094823-01;CIPLUS_166726;(+)-Usnic acid;USNIC ACID, (+);Usnic acid;LS-61059;NCGC00142542-02;NCGC00160165-01;",ICTZCAHDGHPRQR,adrenergenic receptor antagaonist,
NCGC00250398-01,CN(C)C1CCN(CC1)C(=O)C2=CC=C(NC(=O)NC3=NC(=NC(=N3)N4CCOCC4)N5CCOCC5)C=C2,PF-05212384;PKI-587,,CYXYNDAHNRFPMP,mTOR inhibitor,MTOR
NCGC00346580-01,CC[C@]12\C=C/CN3CC[C@]4([C@@H](N(C)C5=CC(=C(C=C45)[C@]6(C[C@H]7C[C@H](CN(C7)CC8=C6[NH]C9=C8C=CC=C9)C(C)(F)F)C(=O)OC)OC)[C@](O)([C@@H]1OC(C)=O)C(=O)OC)[C@H]23,Vinflunine Tartrate,,NMDYYWFGPIMTKO,Tubulin polymerization inhibitor,TUBB
NCGC00091823-05,CC1=CC(=C2C(=O)C3=C(O)C=CC=C3C(=O)C2=C1)O,CHRYSOPHANOL,,LQGUBLBATBMXHT,VEGFR-1/2 Inhibitor,FLT1
NCGC00242484-02,COC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=N[N]3C4CCN(CC4)C(=O)OC)C(=N2)N5CCOCC5,WYE-354,,IMXHGCRIEAKIBU,mTORC1/2 inhibitor,MTOR
NCGC00263196-01,CC(C)(C)C1=CC(=C(NC(=O)NC2=CC3=C([NH]N=C3)C=C2)S1)C(O)=O,S6K-18,,BSRFCMMJUFQEOX,p70 ribosomal S6 kinase (S6K1) inhibitor,RPS6KB1
NCGC00183434-03,CC(C)(C)[C@H](NC(=O)C1=CC(=C(N)C=C1)Cl)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(O)=O)C#N,,,KENKPOUHXLJLEY,Caspase 1 Inhibitors,CASP1
NCGC00179250-04,CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C3C=C(Cl)C=C(Cl)C3=C1)C(F)(F)F,Halofantrine,,FOHHNHSLJDZUGQ,antimalarial agents,
NCGC00179034-08,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,"4,4 -(Pentane-1,5-diylbis(oxy))dibenzimidamide",,XDRYMKDFEDOLFX,PRL Phosphatase Inhibitors,
NCGC00250377-01,O=C1\C=C(OC2=C(C=CC=C12)C3=CC=CC4=C3SC5=C4C=CC=C5)\N6CCOCC6,NU-7441,,JAMULYFATHSZJM,DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,PRKDC
NCGC00346444-01,C[S+]([O-])(=O)C1=CC=C(C=C1)C2=CN=C(N)C(=N2)C(=O)NC3=CC=CC=C3,VE-821   ,,GEXYTIAHHADEFM,ATR Kinase Inhibitors,ATR
NCGC00166076-06,OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,ARBUTIN,,BJRNKVDFDLYUGJ,Free Radical Scavenger,
NCGC00229704-01,O=C2C1=C(N=C(C)N2)C=CC(CN(C)C3=CC=C(C(N[C@H](C(O)=O)CCC(O)=O)=O)S3)=C1,Raltitrexed,Raltitrexed,IVTVGDXNLFLDRM,thymidylate synthase inhibitor,TYMS
NCGC00167506-03,CC[C@@H]1/C=C(C)/C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)/C(C)=C/[C@@H]4CC[C@H](Cl)[C@@H](C4)OC,Pimecrolimus,,KASDHRXLYQOAKZ,Macrolide Antibiotic,
NCGC00263208-01,CC(C)C1=CC=CC=C1CC2=CC(=C(O)C(=C2O)O)C(=O)NC3=CC=C(C=C3)[S+]([O-])(=O)C4=C(C=CC=C4)C(C)(C)C,TW-37,,WBSVTBWVLLDTMU,Bcl-xL inhibitor/Mcl-1 inhibitor,BCL2L1
NCGC00346656-01,CCC1=C2N=C(C=C(NCC3=CC=C[N+](=C3)[O-])[N]2N=C1)N4CCCC[C@H]4CCO,Dinaciclib (SCH727965),,PIMQWRZWLQKKBJ,CDK1/2/5/9 inhibitor,CDK1
NCGC00025060-16,CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Abitrexate (Methotrexate),,FBOZXECLQNJBKD,Dihydrofolate Reductase (DHFR) Inhibitors,DHFR
NCGC00015257-06,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,Clofibrate,"Aluminium clofibrate;CLOFIBRATE;Athromidin;Clofibratum;Clofibrato;NCGC00093755-01;Atromid-S;Miscleron;NCGC00093755-07;Ethyl Chlorophenoxyisobutyrate;NCGC00093755-08;NCGC00093755-05;NCGC00093755-06;Clofibrate (2-2-methyl-propionic acid ethyl ester);Ethyl 2-(4-chlorophenoxy)isobutyrate;Miskleron;clofibrat;Chlorophenoxyisobutyrate, Ethy;ETHYL CLOFIBRATE;ETHYL 2-(P-CHLOROPHENOXY)-2-METHYLPROPIONATE;Atromid;CIPLUS_155815;CLOFIBRATE CALCIUM;Ethyl 2-(4-chlorophenoxy)-2-methylpropionate;clofibratum;LS-7282;Propanoic acid, 2-(4-chlorophenoxy)-2-methyl-, ethyl ester;Clofibrate;Ethyl 2-(4-chlorophenoxy)-2-methylpropanoate;Atromid S;NCGC00015257-01;clofibrate;2-(4-Chlorophenoxy)-2-methylpropionic acid ethyl ester;Clofibric Acid, Ethyl Ester;",KNHUKKLJHYUCFP,PPARalpha Agonist,PPARA
NCGC00091032-08,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3\C=C(Cl)/C4=C/C(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,Cyproterone acetate,,UWFYSQMTEOIJJG,Androgen Receptor Antagonist,AR
NCGC00095245-01,CCC(=O)OC1CCC2C3CCC/4=C/C(=O)CC[C@@]4(C)C3CC[C@]12C,TESTOSTERONE PROPIONATE,"NCGC00095245-01;NCGC00095245-02;LS-148823;Testex;Testaform;CIPLUS_701930;17beta-Propionyloxy-4-androsten-3-one;Ferring Brand of Testosterone Propionate;4-Androsten-17beta-ol-3-one 17-propionate;NCGC00016254-01;Agovirin;Androst-4-en-3-one, 17-(1-oxopropoxy)-(17-beta)-;CIPLUS_148843;Androst-4-en-3-one, 17-(1-oxopropoxy)-, (17beta)-;ANDROST-4-EN-3-ONE, 17-(1-OXOPROPOXY)-, (17.BETA.)-;propionat Eifelfango, Testostero;synovex-H;Eifelfango Brand of Testosterone Propionate;17beta-Hydroxy-4-androsten-3-one 17-propionate;Testosterone Propionate;(17.BETA.)-3-OXOANDROST-4-EN-17-YL PROPIONATE;NCGC_Prestw-401;TESTOSTERONE PROPIONATE;Virormone;Testosteron propionat Eifelfango;Testosterone propionate;",PDMMFKSKQVNJMI,Androgen Receptor Agonist,AR
NCGC00346639-01,COC(=O)\C=C\C(=O)OC,Dimethyl Fumarate,,LDCRTTXIJACKKU,NFkappaB-inducing kinase Inhibitor,NFKB1
NCGC00159422-02,CC(S)C(=O)NCC(O)=O,Tiopronin,"Glycine, N-(2-mercaptopropionyl)-;Thiopronine;tioproninum;tiopronine;CIPLUS_159333;Meprin (detoxicant);N-(2-Mercaptopropionyl)glycine;LS-72720;CIPLUS_783647;CIPLUS_660729;N-(2-MERCAPTOPROPIONYL)GLYCINE;Tiopronine;CIPLUS_660811;Dextiopronin;Tiopronino;Tiopronin;CIPLUS_660812;TIOPRONIN;Tiopronin (n-2-mercaptopropionyl glycine);Tioproninum;dextioproninum;Glycine, N-(2-mercapto-1-oxopropyl)-;THIOLA;Thiola;",YTGJWQPHMWSCST,Copper Chelator,
NCGC00346482-01,[O-][S+](=O)(CCSSCC[S+]([O-])(=O)O[Na])O[Na],Dimesna,,VNAGYFARZFGOFG,chemoprotective agent,
NCGC00242056-02,COC1=CC2=C(C=C1OC)[N](C=N2)C3=CC(=C(S3)C#N)OCC4=C(C=CC=C4)[S+](C)([O-])=O,IKK-3 Inhibitor IX,,LDTAHRLHGHFHKP,IKK-3 Inhibitor,IKBKB
NCGC00016360-05,OC1=CC=C(OCC2=CC=CC=C2)C=C1,MONOBENZONE,,VYQNWZOUAUKGHI,topical medical depigmentation treatment,
NCGC00164629-03,COC1=C(O)C(=CC(=C1)CC=C)C(=O)NCCO,Alibendol,,UMJHTFHIQDEGKB,"treatments of indigestin, nausea",
NCGC00159336-05,CC1(C)[C@@H](N2[C@@H](CC2=O)[S+]1([O-])=O)C(O)=O,Sulbactam,,UPSQWEOSSAAAHC,beta-Lactamase Inhibitor,
NCGC00346889-01,CN(CCO)C(=O)C1=C[N]2C=C(C)N=C2C(=C1)N[C@@H]3CCOC4=CC=CC(=C34)C,PF 3716556,,YBHKBMJREUZHOV,H+/K+-ATPase Inhibitor,
NCGC00346499-01,C[C@](O)(COC1=CC=C(C=C1)C#N)C(=O)NC2=CC=C(C#N)C(=C2)C(F)(F)F,Ostarine (MK-2866),,JNGVJMBLXIUVRD,Selective Androgen Receptor Modulators (SARM)?,AR
NCGC00015163-08,NC(CO)C(=O)NNCC1=C(O)C(=C(O)C=C1)O,BENSERAZIDE HYDROCHLORIDE,,BNQDCRGUHNALGH,DOPA decarboxylase inhibitor,DDC
NCGC00182055-02,CC(=O)O.Oc1ccc(cc1)c5c(C)c2cc(O)ccc2n5Cc3ccc(cc3)OCCN4CCCCCC4,Bazedoxifene;TSE-424/WAY-140424,BAZEDOXIFENE ACETATE;Bazedoxifeno;bazedoxifene acetate;Bazedoxifene  Acetate;Bazedoxifene Acetate;Bazedoxifene;WAY-140424;CIPLUS_731651;Bazedoxifene acetate;CIPLUS_787914;,UCJGJABZCDBEDK,Selective Estrogen Receptor Modulators (SERM),ER
NCGC00346725-01,CNC(=O)C1=CC=C(C=C1F)N2C(=S)N(C(=O)C23CCC3)C4=CN=C(C#N)C(=C4)C(F)(F)F,ARN-509,,HJBWBFZLDZWPHF,Androgen Receptor Antagonists,AR
NCGC00179244-04,CCN[C@H]1C[C@H](C)[S+]([O-])(=O)C2=C1C=C(S2)[S+](N)([O-])=O,Dorzolamide HCL,,UFCODOWYHPCGCL,Carbonic Anhydrase Type II Inhibitors,CA2
NCGC00345805-01,O=C(NC1=NN=C(O1)C2=CC=CO2)C3=CC(=NC4=CC=CC=C34)C5=CC=CC=C5,STX-0119   ,,MNPXTRXFUMGQLK,STAT-3 Inhibitor,STAT3
NCGC00345839-01,CC[S+]([O-])(=O)N1CC(CC#N)(C1)[N]2C=C(C=N2)C3=NC=NC4=C3C=C[NH]4,"Baricitinib phosphate salt  (INCB-28050,    LY3009104)",,KGHHTVPQWVRJGG,Jak2 inhibitor,JAK2
NCGC00016371-05,N[S+]([O-])(=O)C1=CC(=C(Cl)C(=C1)[S+](N)([O-])=O)Cl,Dichlorphenamide (Diclofenamide),,BSXUYTXOUOKRQV,Carbonic Anhydrase Type Inhibitor,CA1
NCGC00160515-03,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@@H]2CO)O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]4\C=C(CO)/[C@@H](O)[C@H](O)[C@H]4O,ACARBOSE,,XUFXOAAUWZOOIT,alpha-Glucosidase Inhibitors,GAA
NCGC00178698-04,CCOC(=O)\C1=C\[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,OSELTAMIVIR PHOSPHATE,,VSZGPKBBMSAYNT,Neuraminidase (Sialidase) Inhibitors,
NCGC00263221-01,CCOC(=O)[C@@H](N)CCC(=O)N[C@@H](CSCC1=CC=CC=C1)C(=O)N[C@@H](C(=O)OCC)C2=CC=CC=C2,Ezatiostat,,GWEJFLVSOGNLSS,Glutathione-s-transferase P1 (GSTP1) Inhibitor,GSTP1
NCGC00345817-01,CNC(=O)[C@H](CC/1=C/N=C\2/C=C\C\C=C12)NC(=O)[C@H](CC(C)C)CC(=O)NO,GM-6001,,SVPQWSUSBRNQBI,MMP Inhibitor,MMP1
NCGC00346934-01,CC(C)(C)C(=O)OC1=CC=C(C=C1)[S+]([O-])(=O)NC2=CC=CC=C2C(=O)NCC(O)=O,Sivelestat,,JIODRNUYULYNKE,Leukocyte Elastase Inhibitor,ELA2
NCGC00181785-01,O=C1NC(CN2CCO[C@@H]([C@@H]2C3=CC=C(C=C3)F)O[C@@H](C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C)=NN1,Aprepitant;L-754030 /MK-0869/ONO-7436,"aprepitantum;MK-0869;5-((2-(1-(3,5-BIS(TRIFLUOROMETHYL)PHENYL)ETHOXY)-3-(4-FLUOROPHENYL)-4-MORPHOLINYL)METHYL)-1,2-DIHYDRO-3-OXO-3H-1,2,4-TRIAZOL, 2R-(2AR*,3A);Merck brand of aprepitant;CIPLUS_728707;MK 0869;MK-869;MK 869;L-754030-000Z;HS_534;(2R)-(1R)-3,5-bis(trifluoromethylphenyl)ethoxy)-(3S)-(4-fluoro)phenyl-4-(3-(5-oxo-1H,4H-1,2,4-triazole)methyl-morpholine;aprepitant;APREPITANT;Emend;Aprepitant;",ATALOFNDEOCMKK,Tachykinin NK1 Antagonist,TACR1
NCGC00095899-04,CN(C)CCC1=C[NH]C2=CC=C(C[N]3C=NC=N3)C=C12,Rizatriptan Benzoate (Maxalt),,ULFRLSNUDGIQQP,5-HT1B Agonist,HTR1B
NCGC00095109-06,COC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2,VENLAFAXINE,,PNVNVHUZROJLTJ,5-HT Reuptake Inhibitor,HTR1A
NCGC00345784-01,CN(C)C[C@@H](NC(=O)N1CC2=C([NH]N=C2NC3=C4SC=CC4=NC(=N3)C)C1(C)C)C5=CC=CC=C5,PF-3758309,,AYCPARAPKDAOEN,p21-Activated Kinase 4 (PAK4) Inhibitors,PAK4
NCGC00263565-02,CC[C@]12CC[C@H]3[C@@H](CCC/4=C/C(=O)CC[C@H]34)[C@@H]1\C=C/[C@@]2(O)C#C,Gestodene,,SIGSPDASOTUPFS,Progestogen hormone,PGR
NCGC00346730-01,COC([C@H](OC1=NC(=CC(=N1)C)C)C(O)=O)(C2=CC=CC=C2)C3=CC=CC=C3,Ambrisentan,,OUJTZYPIHDYQMC,Endothelin ETA Receptor Antagonist,EDNRA
NCGC00015242-12,N[S+]([O-])(=O)C1=C(Cl)C=C2\N=C/N[S+]([O-])(=O)C2=C1,CHLOROTHIAZIDE,,GEAKDLJXQWCJSJ,hypertension treatment,
NCGC00163318-03,CC1=C(NC(=O)C2=CC=CC(=C2)NC(=O)NC3=CC=CC(=C3)C(=O)NC4=CC(=CC=C4C)C(=O)NC5=CC=C(C6=C5C(=CC(=C6)[S+](O)([O-])=O)[S+](O)([O-])=O)[S+](O)([O-])=O)C=C(C=C1)C(=O)NC7=CC=C(C8=CC(=CC(=C78)[S+](O)([O-])=O)[S+](O)([O-])=O)[S+](O)([O-])=O,,SURAMIN,GTCRKBMTGCSJTB,Fibroblast Growth Factor (FGF) Inhibitors,FGF2
NCGC00179642-04,ClC1=CC(=C(C=C1)C(C[N]2C=CN=C2)OCC3=C(Cl)C=CC=C3Cl)Cl,Isoconazole nitrate (Travogen),,MPIPASJGOJYODL,Antifungal Agent,
NCGC00018258-09,ClC1=CC=C(COC(C[N]2C=CN=C2)C3=CC=C(Cl)C=C3Cl)C=C1,ECONAZOLE NITRATE,,LEZWWPYKPKIXLL,Antifungal Agent,
NCGC00015500-10,OC2(CCN(CCCC(C3=CC=C(F)C=C3)=O)CC2)C1=CC=C(Cl)C=C1,Haloperidol,"NCGC00023875-08;HALOPERIDOL HCL;1-Butanone, 4-(4-(4-chlorophenyl)-4-hydroxy-1-piperidinyl)-1-(4-fluorophenyl)-;NCGC00023875-07;N-n-butyl haloperidol iodide;NCGC00023875-06;NCGC00023875-05;4-[4-(p-Chlorophenyl)-4-hydroxypiperidino]-4'-fluorobutyrophenone;RED.HALOPERIDOL;Vesadol;NCGC00023875-04;CIPLUS_148665;NCGC00023875-02;PROPANOIC ACID, 2-HYDROXY-, COMPD. WITH 4-(4-(4-CHLOROPHENYL)-4-HYDROXY-1-PIPERIDINYL)-1-(4-FLUOROPHENYL)-1-BUTANONE, UNDEFINED STOICHIOMETRY;4'-Fluoro-4-(4-(p-chlorophenyl)-4-hydroxypiperidinyl)butyrophenone;NCGC00015500-01;Haldol;HALOPERIDOL;LS-48311;haloperidolum;HALOPERIDOL LACTATE;Haloperidol;CIPLUS_769572;HS_686;NCGC_Prestw-115;haloperidol reductase;NCGC00016234-01;4-[4-(4-Chlorophenyl)-4-hydroxy-1-piperidinyl]-1-(4-fluorophenyl)-1-butanone;Haloperidol Lact;haloperidol;Haloperidol hydrochloride;Haloperidol metabolite II;1-BUTANONE, 4-(4-(4-CHLOROPHENYL)-4-HYDROXY-1-PIPERIDINYL)-1-(4-FLUOROPHENYL)-;HS_685;HALOPERIDOL DECANOATE;HS_684;4-[4-(4-Chlorophenyl)-4-hydroxypiperidino]-4'-fluorobutyrophenone;4-(4-(P-CHLOROPHENYL)-4-HYDROXYPIPERIDINO)-4-FLUOROBUTYROPHENONE;Haloperidolum;CIPLUS_743122;4-(4-CHLOROPHENYL)-1-(4-(4-FLUOROPHENYL)-4-OXOBUTYL)-4-PIPERIDINE;Haloperidol Dec;NCGC00023875-09;4-(4-(4-CHLOROPHENYL)-4-HYDROXYPIPERIDIN-1-YL)-1-(4-FLUOROPHENYL)BUTAN-1-ONE;1H-Azepinium, 1-(4-amino-4-oxo-3,3-diphenylbutyl)hexahydro-1-methyl-, iodide, mixt. with 4-(4-(4-chlorophenyl)-4-hydroxy-1-piperidinyl)-1-(4-fluorophenyl)-1-butanone;",LNEPOXFFQSENCJ,Dopamine D2 Antagonist,DRD2
NCGC00092288-01,CC1=CC=C2\N=C/3N(CC[C@@]3(O)C(=O)C2=C1)C4=CC=CC=C4,,"NCGC00092288-02;1-Phenyl-1,2,3,4-tetrahydro-4-hydroxypyrrolo[2.3-b]-7-methylquinolin-4-one;NCGC00025281-05;NCGC00025281-04;(-)-Blebbistatin;NCGC00025281-01;(R)-(+)-Blebbistatin;Blebbistatin;(?)-Blebbistatin;",LZAXPYOBKSJSEX,myosin II ATPase inhibitor,MYH2
NCGC00346629-01,C[C@@H]1CCO[C@H]2CN\3/C=C(/C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)\C(=C3C(=O)N12)O,S/GSK1349572 (GSK1349572),,RHWKPHLQXYSBKR,HIV Integrase Inhibitors,
NCGC00346835-01,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,2-Iminobiotin,,WWVANQJRLPIHNS,Inducible Nitric Oxide Synthase (NOS-2) Inhibitors,NOS2
NCGC00015444-04,ClC1=C(O)C(O)=CC2=C1CCNCC2C3=CC=C(O)C=C3,Fenoldopam,"6-Chloro-2,3,4,5-tetrahydro-1-(4-hydroxyphenyl)-1H-3-benzazepine-7,8-diol monohydrobromide;fenoldopamum;SK&F-82526-J;Fenoldopam mesilate;LS-176582;6-CHLORO-1-(4-HYDROXYPHENYL)-2,3,4,5-TETRAHYDRO-1H-3-BENZAZEPINE-7,8-DIOL;NCGC00093942-01;SKF-82526;WHO NO. 4673;1H-3-BENZAZEPINE-7,8-DIOL, 6-CHLORO-2,3,4,5-TETRAHYDRO-1-(4-HYDROXYPHENYL)-;Corlopam;SKF82526;NCGC00015444-01;Fenoldopam;FENOLDOPAM;FENOLDOPAM MESYLATE;Fenoldopam Mesylate;fenoldopam;SK&F-82526;Fenoldopam monohydrobromide;CORLOPAM;LS-27994;LS-27993;SK&F82526;SK&F 82526;Fenoldopam hydrochloride;SK&F8252;NCGC00025246-03;NCGC00025246-02;SKF-82526J;NCGC00025246-01;6-CHLORO-2,3,4,5-TETRAHYDRO-1-(P-HYDROXYPHENYL)-1H-3-BENZAZEPINE-7,8-DIOL METHANESULFONATE;SK&F-82526J;SK&F 8252;CIPLUS_3751177;Fenoldopam Hydrobromide;SKF8252;Fenoldopam bromide;Fenoldopam mesylate;SKF 82526;CIPLUS_188304;CIPLUS_188303;SKF 8252;1H-3-Benzazepine-7,8-diol, 6-chloro-2,3,4,5-tetrahydro-1-(4-hydroxyphenyl)-;Hydrobromide, Fenoldopa;",TVURRHSHRRELCG,Dopamine D1 Agonist,DRD1
NCGC00025059-04,CC(C)C1NC(=O)C(NC(=O)C2=C3\N=C\4/C(=C(C)\C(=O)\C(=C4C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)N)OC3=C(C)C=C2)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,Actinomycin D,,RJURFGZVJUQBHK,DNA-Directed RNA Polymerase Inhibitor,PRKDC
NCGC00021305-08,CO[C@@H]1C[C@@H](CC[C@H]1O)C[C@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC,Rapamycin,,QFJCIRLUMZQUOT,mTOR inhibitor,MTOR
NCGC00241104-01,CC(C)(C)c4cc(NC(=O)Nc3ccc(OCCN1CCOCC1)c2ccccc23)n(n4)c5ccc(C)cc5,Doramapimod;BIBR-796?,,MVCOAUNKQVWQHZ,p38 MAPK Inhibitor,MAPK14
NCGC00263180-01,CN1C(=O)C(=C/2N(C(=O)N(C3CC3)C(=O)C2=C1/NC4=CC=C(I)C=C4F)C5=CC=CC(=C5)NC(C)=O)\C,Trametinib;GSK-1120212B/JTP-74057,,LIRYPHYGHXZJBZ,Mek 1/2 inhibitor,MAP2K1
NCGC00346679-01,O=C(NC1CCOCC1)C2=CC=C(C=C2)C3=NC=CC(=C3)C4=C[NH]N=C4C5=NC=CC=C5,GW788388,,SAGZIBJAQGBRQA,TGF-bR1 (ALK5) Inhibitor,
NCGC00346579-01,CC1=C(C=CC=C1)N2\C(=N/C3=C(C(=CC=C3)C)C2=O)C[N]4N=CC5=C4N=CN=C5N,PIK-293,,KQDBVHKNIYROHU,PI3K Inhibitor,PIK3CA
NCGC00015478-08,OC1=C(Br)C=C(C=C1Br)\C=C2/C(=O)NC3=C2C=C(I)C=C3,,,LMXYVLFTZRPNRV,Raf Kinase Inhibitors,BRAF
NCGC00178529-03,C[C@H]1COC2=C3N1\C=C(C(O)=O)/C(=O)C3=CC(=C2N4CCN(C)CC4)F,Levofloxacin (Levaquin),,GSDSWSVVBLHKDQ,DNA Topoisomerase IV Inhibitors,TOP2B
NCGC00346947-01,FC1=CC=C(CN2\C=C/C=C(/C(=O)N[C@@H](COC3=CC4=C(NC(=O)N4)C=C3)C5=CC=CC=C5)C2=O)C=C1F,PDK1 inhibitor,,GCWCGSPBENFEPE,Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,PDPK1
NCGC00346475-01,CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1CC2=C([NH]C3=C2C=CC(=C3)F)C4=C(C[C@@H]5C[C@H](O)CN5C(=O)[C@H](CC)NC(=O)[C@H](C)NC)C6=C([NH]4)C=C(F)C=C6,Birinapant,,PKWRMUKBEYJEIX,IAP Inhibitor,XIAP
NCGC00017354-06,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,SPECTINOMYCIN HYDROCHLORIDE,,UNFWWIHTNXNPBV,Antibiotic,
NCGC00346887-01,[O-][S+](=O)(NCC1=CC=C(C=C1)C(=O)NNC(=O)C2=CC=CC=C2)C3=CC(=C(F)C=C3)Cl,TCN 201,,VFWGDGFMXIEDBM,NMDA Antagonist,GRIN2A
NCGC00065890-07,CC1=CC=NC2=C1NC(=O)C3=CC=CN=C3N2C4CC4,Nevirapine (Viramune),,NQDJXKOVJZTUJA,Reverse Transcriptase Inhibitor,TERT
NCGC00165898-02,FC1=C(C=C(Cl)C=C1)C2=NC3=NC=CN=C3C(=N2)NC4=CC=NC=C4,SD-208,,BERLXWPRSBJFHO,TGF-bR1 (ALK5) Inhibitor,
NCGC00253438-01,CC[C@H]1N(C2CCCC2)C3=NC(=NC=C3N(C)C1=O)NC4=CC=C(C=C4OC)C(=O)NC5CCN(C)CC5,BI-2536,,XQVVPGYIWAGRNI,Polo-like Kinase-1 (Plk-1) Inhibitor,PLK1
NCGC00165768-02,NC(=O)C1=CC2=C([NH]C(=N2)C3=CC=C(OC4=CC=C(Cl)C=C4)C=C3)C=C1,,,UXGJAOIJSROTTN,Checkpoint Kinase 2 (Chk2) Inhibitors,CHEK2
NCGC00346676-01,CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=C(N5CCN(CC5)CC6=NOC(=C6)C)C(=CN=C4[NH]3)Br,CCT137690,,GFLQCBTXTRCREJ,Aurora-A/B/C Kinase Inhibitor,AURKA
NCGC00343768-01,CC1=NC=C(NC(=O)NC2=C(OC[C@@H]3CNCCO3)C=C(C)C(=C2)Br)N=C1,,,SYYBDNPGDKKJDU,Chk1 Inhibitor,CHEK1
NCGC00263218-02,C\C(O)=C(C#N)\C(=O)NC1=CC=C(C=C1)C(F)(F)F,Teriflunomide;A-771726/HMR-1726,,UTNUDOFZCWSZMS,"MMP-2, 9 Inhibitor",MMP2
