,HTR2A,G9
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,HDAC1,D10
Histone Deacetylase (HDAC) Inhibitor,NCGC00263617-05,HDAC1,F2
Histone Deacetylase (HDAC) Inhibitor,NCGC00263617-05,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00263617-05,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00263918-04,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00263918-04,PSMD1,D10
Proteasome Inhibitor,NCGC00344630-01,PSMD1,F2
Proteasome Inhibitor,NCGC00344630-01,PSMD1,G8
Proteasome Inhibitor,NCGC00344630-01,PSMD1,G9
Proteasome Inhibitor,NCGC00344630-01,ITK,D10
ITK inhibitor,NCGC00344990-01,ITK,F2
ITK inhibitor,NCGC00344990-01,ITK,G8
ITK inhibitor,NCGC00344990-01,ITK,G9
ITK inhibitor,NCGC00344990-01,,D10
lineage-specific differentiation enhancer,NCGC00345082-01,,G8
lineage-specific differentiation enhancer,NCGC00345082-01,,G9
lineage-specific differentiation enhancer,NCGC00345082-01,HDAC1,D10
HDAC Inhibitor,NCGC00345539-02,HDAC1,F2
HDAC Inhibitor,NCGC00345539-02,HDAC1,G8
HDAC Inhibitor,NCGC00345539-02,HDAC1,G9
HDAC Inhibitor,NCGC00345539-02,IKBKB,D10
IKK Inhibitor,NCGC00345782-01,IKBKB,F2
IKK Inhibitor,NCGC00345782-01,IKBKB,G8
IKK Inhibitor,NCGC00345782-01,IKBKB,G9
IKK Inhibitor,NCGC00345782-01,PAK4,F2
p21-Activated Kinase 4 (PAK4) Inhibitors,NCGC00345784-01,PAK4,G9
p21-Activated Kinase 4 (PAK4) Inhibitors,NCGC00345784-01,PSMD1,D10
Proteasome Inhibitor,NCGC00345799-01,PSMD1,F2
Proteasome Inhibitor,NCGC00345799-01,PSMD1,G8
Proteasome Inhibitor,NCGC00345799-01,PSMD1,G9
Proteasome Inhibitor,NCGC00345799-01,IMPDH1,F2
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00345803-01,IMPDH1,G8
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00345803-01,IMPDH1,G9
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00345803-01,MAP2K1,D10
Mek 1/2 inhibitor,NCGC00345804-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00345804-01,CDK1,D10
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,F2
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,G8
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,CDK1,G9
CDK1/2/3/7/9 inhibitor,NCGC00345809-01,STAT3,D10
STAT-3 Inhibitor,NCGC00345811-01,STAT3,F2
STAT-3 Inhibitor,NCGC00345811-01,STAT3,G8
STAT-3 Inhibitor,NCGC00345811-01,STAT3,G9
STAT-3 Inhibitor,NCGC00345811-01,SRC,F2
cSRC inhibitor,NCGC00345829-01,JAK2,D10
Jak2 inhibitor,NCGC00345845-01,JAK2,F2
Jak2 inhibitor,NCGC00345845-01,JAK2,G8
Jak2 inhibitor,NCGC00345845-01,JAK2,G9
Jak2 inhibitor,NCGC00345845-01,JAK2,D10
Jak2 inhibitor,NCGC00345846-01,JAK2,F2
Jak2 inhibitor,NCGC00345846-01,JAK2,G8
Jak2 inhibitor,NCGC00345846-01,JAK2,G9
Jak2 inhibitor,NCGC00345846-01,MAPK8,F2
JNK Inhibitor,NCGC00345850-01,MAPK8,G8
JNK Inhibitor,NCGC00345850-01,MAPK8,G9
JNK Inhibitor,NCGC00345850-01,PIK3CA,D10
PI3K Inhibitor,NCGC00345851-01,PIK3CA,G8
PI3K Inhibitor,NCGC00345851-01,CDK1,D10
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,F2
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,G8
CDK1/2/5/9 inhibitor,NCGC00345852-01,CDK1,G9
CDK1/2/5/9 inhibitor,NCGC00345852-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346438-01,SPHK2,F2
Sphingosine Kinase 2 (SphK2) Inhibitors,NCGC00346441-01,SPHK2,G8
Sphingosine Kinase 2 (SphK2) Inhibitors,NCGC00346441-01,SPHK2,G9
Sphingosine Kinase 2 (SphK2) Inhibitors,NCGC00346441-01,MAP2K1,D10
Mek Inhibitor,NCGC00346455-01,MAP2K1,F2
Mek Inhibitor,NCGC00346455-01,MAP2K1,G8
Mek Inhibitor,NCGC00346455-01,MAP2K1,G9
Mek Inhibitor,NCGC00346455-01,,D10
FGFR Inhibitor,NCGC00346459-01,,G8
FGFR Inhibitor,NCGC00346459-01,PSMD1,D10
Proteasome Inhibitor,NCGC00346469-01,PSMD1,F2
Proteasome Inhibitor,NCGC00346469-01,PSMD1,G8
Proteasome Inhibitor,NCGC00346469-01,PSMD1,G9
Proteasome Inhibitor,NCGC00346469-01,HDAC1,D10
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,F2
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,G8
HDAC1 Inhibitor,NCGC00346487-01,HDAC1,G9
HDAC1 Inhibitor,NCGC00346487-01,EGFR,F2
EGFR (HER1; erbB1) Inhibitor,NCGC00346496-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346500-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346500-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346500-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346500-01,PIK3CA,D10
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,F2
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,G8
PI3Kalpha inhibitor,NCGC00346509-01,PIK3CA,G9
PI3Kalpha inhibitor,NCGC00346509-01,,D10
Macrolide Antibiotic,NCGC00346523-01,,F2
Macrolide Antibiotic,NCGC00346523-01,,G8
Macrolide Antibiotic,NCGC00346523-01,,G9
Macrolide Antibiotic,NCGC00346523-01,,D10
Polyether Antibiotic,NCGC00346524-01,,F2
Polyether Antibiotic,NCGC00346524-01,,G8
Polyether Antibiotic,NCGC00346524-01,,G9
Polyether Antibiotic,NCGC00346524-01,MAP2K1,D10
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00346530-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00346530-01,,F2
Antifungal Agent,NCGC00346538-01,,G9
Antifungal Agent,NCGC00346538-01,CFTR,D10
CFTR Channel Modulator,NCGC00346550-01,CFTR,F2
CFTR Channel Modulator,NCGC00346550-01,MAP2K1,D10
Mek 1/2 inhibitor,NCGC00346552-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00346552-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00346552-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00346552-01,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00346563-01,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00346563-01,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00346563-01,MAP2K1,D10
MEK inhibitor,NCGC00346567-01,MAP2K1,F2
MEK inhibitor,NCGC00346567-01,MAP2K1,G8
MEK inhibitor,NCGC00346567-01,MAP2K1,G9
MEK inhibitor,NCGC00346567-01,ERBB2,D10
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,F2
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,G8
HER2 (erbB2) Inhibitor,NCGC00346582-01,ERBB2,G9
HER2 (erbB2) Inhibitor,NCGC00346582-01,,G8
antimalarial agents,NCGC00346590-01,,G9
antimalarial agents,NCGC00346590-01,PDGFRA,D10
PDGFR Inhibitor,NCGC00346619-01,PDGFRA,F2
PDGFR Inhibitor,NCGC00346619-01,SYK,D10
Syk Kinase inhibitor,NCGC00346622-01,SYK,F2
Syk Kinase inhibitor,NCGC00346622-01,SYK,G8
Syk Kinase inhibitor,NCGC00346622-01,SYK,G9
Syk Kinase inhibitor,NCGC00346622-01,CHEK1,D10
Chk1 Inhibitor,NCGC00346626-01,CHEK1,F2
Chk1 Inhibitor,NCGC00346626-01,CHEK1,G8
Chk1 Inhibitor,NCGC00346626-01,PDE10A,D10
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,F2
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,G8
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,PDE10A,G9
Phosphodiesterase PDE10A Inhibitors,NCGC00346630-01,HSP90AB1,D10
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346633-01,MTOR,D10
mTOR inhibitor,NCGC00346634-01,MTOR,G8
mTOR inhibitor,NCGC00346634-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346640-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346640-01,AURKA,D10
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,F2
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,G8
Aurora Kinase Inhibitor,NCGC00346652-01,AURKA,G9
Aurora Kinase Inhibitor,NCGC00346652-01,CDK1,D10
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,F2
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,G8
CDK1/2/5/9 inhibitor,NCGC00346656-01,CDK1,G9
CDK1/2/5/9 inhibitor,NCGC00346656-01,PDGFRB,D10
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,F2
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,G8
PDGFR beta inhibitor,NCGC00346658-01,PDGFRB,G9
PDGFR beta inhibitor,NCGC00346658-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346659-01,PIK3CA,G8
CDK1/2/4/5 Inhibitor,NCGC00346673-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346674-01,HSP90AB1,D10
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00346678-01,HSP90AB1,G9
Stearoyl-CoA Desaturase Inhibitors,NCGC00346680-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346681-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346681-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346681-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346681-01,PIK3CA,D10
PI3K Inhibitor,NCGC00346692-01,PIK3CA,F2
PI3K Inhibitor,NCGC00346692-01,PIK3CA,G8
PI3K Inhibitor,NCGC00346692-01,PIK3CA,G9
PI3K Inhibitor,NCGC00346692-01,,D10
photosensitizer,NCGC00346712-01,,F2
photosensitizer,NCGC00346712-01,,G8
photosensitizer,NCGC00346712-01,,G9
photosensitizer,NCGC00346712-01,BRAF,F2
Raf kinase B Inhibitor,NCGC00346716-01,BRAF,G8
Raf kinase B Inhibitor,NCGC00346716-01,BRAF,G9
Raf kinase B Inhibitor,NCGC00346716-01,PDGFRB,D10
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,F2
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,G8
PDGFR beta inhibitor,NCGC00346718-01,PDGFRB,G9
PDGFR beta inhibitor,NCGC00346718-01,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00346724-01,CDK1,D10
CDK1/2/4/6,NCGC00346827-01,CDK1,F2
CDK1/2/4/6,NCGC00346827-01,CDK1,G8
CDK1/2/4/6,NCGC00346827-01,CDK1,G9
CDK1/2/4/6,NCGC00346827-01,PTK2,D10
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,F2
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,G8
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,PTK2,G9
Focal Adhesion Kinase (FAK) Inhibitor,NCGC00346931-01,CDK1,D10
CDK1/2 Inhibitor,NCGC00346940-01,CDK1,G9
CDK1/2 Inhibitor,NCGC00346940-01,CDK4,D10
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,F2
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G8
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G9
CDK4/6 Inhibitor,NCGC00346951-01,FLT3,F2
FLT3,NCGC00346964-01,FLT3,G8
FLT3,NCGC00346964-01,AKT1,D10
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,F2
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,G8
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,G9
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,,D10
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,F2
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,G8
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,G9
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,P2RX7,D10
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,F2
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,G8
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,G9
P2X7 Receptor Antagonist,NCGC00347904-01,,D10
Oct4 Activator,NCGC00347953-01,,F2
Oct4 Activator,NCGC00347953-01,,G8
Oct4 Activator,NCGC00347953-01,,G9
Oct4 Activator,NCGC00347953-01,,D10
beta Cell Proliferation Inducer,NCGC00347958-01,,F2
beta Cell Proliferation Inducer,NCGC00347958-01,,G8
beta Cell Proliferation Inducer,NCGC00347958-01,,G9
beta Cell Proliferation Inducer,NCGC00347958-01,BCL2L1,F2
Bcl-xL inhibitor,NCGC00015225-03,BCL2L1,G9
Bcl-xL inhibitor,NCGC00015225-03,JAK1,G8
DNA Topoisomerase II Inhibitors,NCGC00015693-08,STAT3,F2
STAT-3 Inhibitor,NCGC00015735-12,STAT3,G8
STAT-3 Inhibitor,NCGC00015735-12,STAT3,G9
STAT-3 Inhibitor,NCGC00015735-12,,F2
ICAM1 Expression Inhibitors,NCGC00015840-09,,G8
ICAM1 Expression Inhibitors,NCGC00015840-09,,G9
ICAM1 Expression Inhibitors,NCGC00015840-09,PTP4A1,F2
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,G8
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,G9
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,GBF1,G8
Golgi-Specific Brefeldin A-Resistance Guanine Nucleotide Exchange Factor 1 (GBF1) Inhibitors,NCGC00017254-02,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00017324-08,,F2
Antifungal Agent,NCGC00017338-05,,G8
Antifungal Agent,NCGC00017338-05,,G9
Antifungal Agent,NCGC00017338-05,NDUFAF1,F2
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,G8
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,G9
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,ADA,F2
Adenosine Deaminase Inhibitor,NCGC00022567-08,ADA,G8
Adenosine Deaminase Inhibitor,NCGC00022567-08,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00023509-14,,F2
Pyrimidine Antagonists,NCGC00023722-07,,F2
Antineoplastic Antibiotics,NCGC00024246-13,,G8
Antineoplastic Antibiotics,NCGC00024246-13,,G9
Antineoplastic Antibiotics,NCGC00024246-13,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00024415-39,PGR,G9
Progesterone Receptor Antagonist,NCGC00025179-13,CYP19A1,F2
Aromatase Inhibitor,NCGC00091009-05,CYP19A1,G9
Aromatase Inhibitor,NCGC00091009-05,,F2
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,G8
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,G9
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,RARG,F2
RARgamma Agonist,NCGC00092284-03,RARG,G8
RARgamma Agonist,NCGC00092284-03,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00092290-03,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00092290-03,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00092290-03,AKT1,F2
PKB/Akt Inhibitor,NCGC00092314-04,AKT1,G8
PKB/Akt Inhibitor,NCGC00092314-04,AKT1,G9
PKB/Akt Inhibitor,NCGC00092314-04,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00093976-06,AKR1C1,F2
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,G8
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,G9
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,WNT1,F2
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,G8
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,G9
Anticoccidial/Antibacterial,NCGC00095055-03,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00160531-01,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00160531-01,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00160531-01,PSMD1,F2
Proteasome Inhibitor,NCGC00161679-01,PSMD1,G8
Proteasome Inhibitor,NCGC00161679-01,PSMD1,G9
PKC Activator,NCGC00162381-03,ADH1A,F2
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,G8
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,G9
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,,F2
Antineoplastic Antibiotics,NCGC00162440-01,HDAC1,F2
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,G8
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,G9
Inhibition of RNA polymerase II?mediated transcription,NCGC00163411-05,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,,F2
Antineoplastic Antibiotics,NCGC00163548-02,,G8
Antineoplastic Antibiotics,NCGC00163548-02,,G9
Antineoplastic Antibiotics,NCGC00163548-02,,F2
DNA Polymerase Inhibitors,NCGC00164553-03,,F2
antimalarial agents,NCGC00164600-03,,G8
antimalarial agents,NCGC00164600-03,,G9
antimalarial agents,NCGC00164600-03,HMGCR,F2
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,G8
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,G9
HMG-CoA Reductase Inhibitors,NCGC00164604-03,IKBKB,F2
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,G8
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,G9
IKK-2 Inhibitor,NCGC00165811-03,,G8
TGF-bR1 (ALK5) inhibitor,NCGC00165869-03,ADORA3,G8
Adenosine A3 Antagonists,NCGC00165880-04,ADORA3,G9
Adenosine A3 Antagonists,NCGC00165880-04,,F2
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,,G8
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,,G9
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,RASAL1,F2
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,G8
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,G9
Dual RASGAP/Erk inhibitor,NCGC00167403-03,,F2
antimalarial agents,NCGC00167496-02,,G8
antimalarial agents,NCGC00167496-02,,G9
antimalarial agents,NCGC00167496-02,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,F2
EGFR (HER1; erbB1) Inhibitor,NCGC00167513-03,EGFR,G8
EGFR (HER1; erbB1) Inhibitor,NCGC00167513-03,CASP3,F2
Procaspase 3 Activator,NCGC00167785-02,CASP3,G8
Procaspase 3 Activator,NCGC00167785-02,CASP3,G9
DNA Topoisomerase II Inhibitors,NCGC00167982-02,RRM2,F2
ribonucleotide reductase inhibitor,NCGC00168784-01,,F2
K+/ATP Signaling Inhibitor,NCGC00173359-06,,G8
K+/ATP Signaling Inhibitor,NCGC00173359-06,,G9
K+/ATP Signaling Inhibitor,NCGC00173359-06,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,,F2
PRL Phosphatase Inhibitors,NCGC00179034-08,,G9
Bcr-Abl inhibitor,NCGC00181129-05,HTR1B,G8
5-HT1B Agonist,NCGC00181786-03,HTR1B,G9
Vitamin D Analog,NCGC00182058-03,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00182713-01,NAMPT,F2
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,G8
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,G9
NMPRTase Inhibitor,NCGC00182868-02,,F2
Calcium Channel Blocker,NCGC00183837-01,,G8
Calcium Channel Blocker,NCGC00183837-01,,G9
Calcium Channel Blocker,NCGC00183837-01,,F2
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,G8
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,G9
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,NFKB1,F2
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,G8
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,G9
PI3Kalpha_:_ beta_:_ gamma Inhibitor,NCGC00187906-01,MTOR,G8
mTOR Inhibitor,NCGC00188346-01,MTOR,G9
mTOR Inhibitor,NCGC00188346-01,ITK,F2
ITK inhibitor,NCGC00188382-04,ITK,G8
ITK inhibitor,NCGC00188382-04,ITK,G9
ITK inhibitor,NCGC00188382-04,MAP2K1,F2
MEK inhibitor,NCGC00189075-01,MAP2K1,G8
MEK inhibitor,NCGC00189075-01,MAP2K1,G9
MEK inhibitor,NCGC00189075-01,ITK,F2
ITK inhibitor,NCGC00229512-04,ITK,G8
ITK inhibitor,NCGC00229512-04,ITK,G9
ITK inhibitor,NCGC00229512-04,PRKCA,F2
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,G8
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,G9
PKC/flt3 inhibitor,NCGC00241102-02,ROCK1,F2
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,ROCK1,G8
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,ROCK1,G9
ROCK 1_:_ ROCK 2 Inhibitor,NCGC00241982-03,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,CHEK1,F2
Chk1/2 Inhibitor,NCGC00242481-02,CHEK1,G8
Chk1/2 Inhibitor,NCGC00242481-02,CHEK1,G9
Chk1/2 Inhibitor,NCGC00242481-02,SRC,F2
cSRC inhibitor,NCGC00242490-02,SRC,G8
cSRC inhibitor,NCGC00242490-02,SRC,G9
cSRC inhibitor,NCGC00242490-02,PSMD1,F2
Proteasome Inhibitor,NCGC00242506-02,PSMD1,G8
Proteasome Inhibitor,NCGC00242506-02,PSMD1,G9
Proteasome Inhibitor,NCGC00242506-02,BIRC5,F2
Survivin inhibitor,NCGC00242514-01,BIRC5,G8
Survivin inhibitor,NCGC00242514-01,BIRC5,G9
Survivin inhibitor,NCGC00242514-01,JAK1,F2
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,G8
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,G9
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK2,F2
Jak2 inhibitor,NCGC00249346-02,JAK2,G8
Jak2 inhibitor,NCGC00249346-02,JAK2,G9
Jak2 inhibitor,NCGC00249346-02,PSMD1,F2
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G8
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G9
Proteasome Inhibitor,NCGC00249611-03,PSMD1,F2
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G8
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G9
Proteasome Inhibitor,NCGC00249612-01,PSMD1,F2
Proteasome Inhibitor,NCGC00249613-03,PSMD1,G8
Proteasome Inhibitor,NCGC00249613-03,PSMD1,G9
Proteasome Inhibitor,NCGC00249613-03,CAMKK2,F2
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,G8
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,BRAF,F2
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,G8
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,G9
Raf kinase B/C Inhibitor,NCGC00250380-01,SMO,F2
